name,tracking,assetSize
黄金ETF华安(518880),黄金9999,939.85
华宝添益ETF(511990),该基金无跟踪标的,803
港股通互联网ETF(159792),中证港股通互联网指数,794.79
中证1000ETF(512100),中证1000指数,789.96
科创50ETF(588000),上证科创板50成份指数,760.22
证券ETF(512880),中证全指证券公司指数,570.29
A500ETF华泰柏瑞(563360),中证A500指数,494.5
恒生科技指数ETF(513180),恒生科技指数,489.48
中概互联网ETF易方达(513050),中证海外中国互联网50人民币指数,398.59
科创芯片ETF(588200),上证科创板芯片指数,396.58
港股通科技30ETF工银(159636),国证港股通科技指数,348.18
恒生互联网ETF(513330),恒生互联网科技业指数,346.45
创业板50ETF华安(159949),创业板50指数,306.53
香港证券ETF易方达(513090),中证香港证券投资主题港元指数,303.25
纳指ETF(159941),纳斯达克100指数,297.75
港股通非银ETF(513750),中证港股通非银行金融主题人民币指数,269.11
红利低波ETF华泰柏瑞(512890),中证红利低波动指数,267.54
机器人ETF(562500),中证机器人指数,264.65
医疗ETF(512170),中证医疗指数,252.63
芯片ETF(159995),国证半导体芯片指数,251.97
港股创新药ETF(513120),中证香港创新药港币指数,234.03
上证180ETF华安(510180),上证180指数,232.67
港股科技ETF景顺(513980),中证港股通科技指数,224.93
标普500ETF博时(513500),标准普尔500指数,223.2
人工智能ETF易方达(159819),中证人工智能主题指数,217.96
港股通创新药ETF(159570),国证港股通创新药指数,214.88
消费ETF(159928),中证主要消费指数,208.92
有色金属ETF(512400),有色金属,205.91
半导体ETF(512480),中证全指半导体产品与设备指数,201.65
红利ETF华泰柏瑞(510880),上证红利指数,192.65
酒ETF(512690),中证酒指数,188.77
中证500ETF华夏(512500),中证500指数,180.85
证券保险ETF易方达(512070),沪深300非银行金融指数,176.13
医药ETF易方达(512010),沪深300医药卫生指数,169.74
化工ETF(159870),细分化工,169.57
港股低波红利ETF摩根(513630),标普港股通低波红利指数,166.44
机器人ETF易方达(159530),国证机器人产业指数,152.67
红利低波50ETF(515450),标普中国A股大盘红利低波50指数,150.39
电池ETF(159755),国证新能源车电池指数,140.86
恒生ETF(159920),恒生指数,137.89
创业板ETF广发(159952),创业板指数(价格),137.26
通信ETF(515880),中证全指通信设备指数,136.38
银行ETF(512800),中证银行指数,127.94
游戏ETF(159869),中证动漫游戏指数,126.11
黄金股ETF(517520),中证沪深港黄金产业股票指数,125.5
创新药ETF(159992),中证创新药产业指数,124.21
纳指科技ETF景顺(159509),纳斯达克科技市值加权指数,123.32
科创创业ETF易方达(159781),中证科创创业50指数,118.96
红利ETF易方达(515180),中证红利指数,118.05
光伏ETF(515790),中证光伏产业指数,112.53
军工ETF(512660),中证军工指数,106.52
金融科技ETF(159851),中证金融科技主题指数,100.84
军工龙头ETF(512710),中证军工龙头指数,100.58
芯片ETF(512760),中华交易服务半导体芯片行业人民币指数,97.91
电池ETF汇添富(159796),中证电池主题指数,93.91
港股通科技ETF(159262),恒生港股通科技主题指数,92.97
科创100ETF鹏华(588220),上证科创板100指数,90.15
半导体设备ETF(159516),中证半导体材料设备主题指数,90.11
工业有色ETF万家(560860),中证工业有色金属主题指数,87.6
煤炭ETF(515220),中证煤炭指数,86.4
自由现金流ETF(159201),国证自由现金流指数,85.96
港股红利ETF工银(159691),中证港股通高股息精选港元指数,84.35
沪深300ETF天弘(515330),沪深300指数,81.8
恒生中国企业ETF易方达(510900),恒生中国企业指数,78.7
通信ETF华夏(515050),中证5G通信主题指数,78.03
稀土ETF嘉实(516150),中证稀土产业指数,77.71
恒生红利低波ETF易方达(159545),恒生港股通高股息低波动指数,75.73
深证100ETF易方达(159901),深证100指数(价格),70.61
人工智能ETF(515980),中证人工智能产业指数,70.45
新能源ETF(516160),中证新能源指数,68.15
上海国企ETF汇添富(510810),中证上海国企指数,67.47
卫星ETF(159206),国证商用卫星通信产业指数,66.59
有色金属ETF基金(516650),细分有色,65.95
恒生医疗ETF博时(513060),恒生医疗保健指数,63.02
央企改革ETF华夏(512950),中证央企结构调整指数,62.41
港股通央企红利ETF华安(513920),恒生港股通中国央企红利指数,62.39
医药ETF广发(159938),中证全指医药卫生指数,61.13
软件ETF(159852),中证软件服务指数,60.25
养殖ETF(159865),中证畜牧养殖指数,59.49
金ETF(518680),上海金,58.93
上证指数ETF(510210),上证综合指数,58.79
港股科技ETF银华(513160),恒生港股通中国科技指数,58.4
红利低波100ETF(515100),中证红利低波动100指数,57.7
旅游ETF(159766),中证旅游主题指数,56.94
港股央企红利ETF景顺(520990),中证国新港股通央企红利指数,56.81
食品饮料ETF(515170),细分食品,56.64
科创AIETF博时(588790),上证科创板人工智能指数,56.39
中证A50指数ETF(159593),中证A50指数,55.97
恒生医药ETF(159892),恒生生物科技指数,55.65
港股红利ETF博时(513690),港股通高股息率指数,55.26
食品饮料ETF天弘(159736),中证食品饮料指数,54.21
800ETF(515800),中证800指数,53.7
港股央企红利ETF(513910),中证港股通央企红利指数,49.92
现金流ETF(159399),富时中国A股自由现金流聚焦指数,48.72
上证50ETF易方达(510100),上证50指数,47.6
有色ETF大成(159980),上期有色金属指数,46.97
金融ETF(510230),上证180金融股指数,46.83
房地产ETF(512200),中证全指房地产指数,46.79
300红利低波ETF嘉实(515300),沪深300红利低波动指数,46.7
港股通红利ETF汇添富(513820),中证港股通高股息投资港元指数,45.7
新能源车ETF(515030),中证新能源汽车指数,44.28
中概互联ETF(159605),中证海外中国互联网30人民币指数,43.42
证券ETF鹏华(159993),国证证券龙头指数,40.9
中国A50ETF汇添富(560050),MSCI中国A50互联互通人民币指数,40.4
港股通创新药ETF易方达(159316),恒生港股通创新药指数,39.82
钢铁ETF(515210),中证钢铁指数,39.8
储能电池ETF易方达(159566),国证新能源电池指数,38.9
电网设备ETF(159326),中证电网设备主题指数,38.88
创业板人工智能ETF华宝(159363),创业板人工智能指数,38.08
国防ETF(512670),中证国防指数,37.27
稀有金属ETF(562800),中证稀有金属主题指数,37.13
