securityCode,securityName,scale,trackingIndex,trackIndex
510300.SH,沪深300ETF华泰柏瑞,108598383841.4,沪深300,000300.SH
518880.SH,黄金ETF华安,108138097267.2,SGE黄金9999,Au9999.SGE
588000.SH,科创50ETF华夏,96953613340.8,科创50,000688.SH
159915.SZ,创业板ETF易方达,67804587687.976,创业板指,399006.SZ
512880.SH,证券ETF国泰,60118240115.5,证券公司,399975.SZ
588200.SH,科创芯片ETF嘉实,50805658211.2,科创芯片,000685.SH
159516.SZ,半导体设备ETF国泰,44669008419.588,半导体材料设备,931743.CSI
510500.SH,中证500ETF南方,44554020138,中证500,000905.SH
515880.SH,通信ETF国泰,44543328896,通信设备,931160.CSI
588170.SH,科创半导体ETF华夏,43614674493,科创半导体材料设备,950125.SH
513180.SH,恒生科技ETF华夏,39452546003.5,恒生科技指数,HSTECH.HI
563360.SH,A500ETF华泰柏瑞,39195926086.2,中证A500,000510.CSI
159941.SZ,纳指ETF广发,38303723055.192,纳斯达克100,NDX.GI
513050.SH,中概互联网ETF易方达,35242008757.8,中国互联网50,h30533.CSI
159792.SZ,港股通互联网ETF富国,33444281827.98,港股通互联网,931637.CSI
512890.SH,红利低波ETF华泰柏瑞,30919107187.2,红利低波,h30269.CSI
159995.SZ,芯片ETF华夏,27896977165.824,国证芯片,980017.CNI
513500.SH,标普500ETF博时,27595459641,标普500净总回报,SPTR500N.SPI
513330.SH,恒生互联网ETF华夏,25945668080,恒生互联网科技业指数,HSIII.HI
159949.SZ,创业板50ETF华安,25312088123.201,创业板50,399673.SZ
512400.SH,有色金属ETF南方,24629973548,有色金属,000819.SH
512170.SH,医疗ETF华宝,24250778970,中证医疗,399989.SZ
510050.SH,上证50ETF华夏,23175746230,上证50,000016.SH
513120.SH,港股创新药ETF广发,22808048572.2,港股创新药,931787CNY00.CSI
159819.SZ,人工智能ETF易方达,21276554676.778,CS人工智,930713.CSI
512480.SH,半导体ETF国联安,20676349495.2,半导体,h30184.CSI
159570.SZ,港股通创新药ETF汇添富,20251261970.22,港股通创新药,987018.CNI
515450.SH,红利低波50ETF南方,20085965650,标普中国A股大盘红利低波50,SPCLLHCP.SPI
512100.SH,中证1000ETF南方,19998119870.4,中证1000,000852.SH
159509.SZ,纳指科技ETF景顺,19360968968.088,纳斯达克科技市值加权,NDXTMC.GI
515050.SH,通信ETF华夏,19167129778,5G通信,931079.CSI
510880.SH,红利ETF华泰柏瑞,18885970662.3,红利指数,000015.SH
159326.SZ,电网设备ETF华夏,18804952099.125,电网设备主题,931994.CSI
513090.SH,香港证券ETF易方达,17921616412,香港证券,930709.CSI
515180.SH,红利ETF易方达,17771205533,中证红利,000922.CSI
562500.SH,机器人ETF华夏,17296453938.2,机器人,h30590.CSI
510180.SH,上证180ETF华安,17284793433.9,上证180,000010.SH
